Temperature,Precipitation
110,225
106,226
100,234
112,234
127,232
138,228
140,223
137,224
138,222
134,222
122,226
115,231
80,194
110,234
125,231
138,227
143,221
139,220
136,222
138,222
132,223
125,224
126,227
130,225
128,223
77,191
121,232
137,226
143,220
138,220
131,224
132,225
134,224
130,224
135,222
137,224
131,224
121,224
86,185
73,189
63,195
61,200
65,200
143,223
138,222
127,225
123,227
128,225
129,226
134,224
143,218
137,222
119,228
109,229
92,180
80,183
67,190
61,197
61,200
63,201
65,200
62,202
139,221
127,227
117,229
117,230
120,229
123,229
137,223
142,214
123,225
104,233
100,235
95,181
88,179
73,186
63,193
61,197
61,201
63,200
62,201
61,202
130,225
118,230
111,231
110,233
112,234
119,232
132,225
126,223
106,233
91,179
79,183
66,190
61,196
60,199
61,201
62,201
61,202
120,231
110,234
105,235
67,175
83,182
70,188
63,194
62,198
62,200
62,200
62,201
61,203
62,203
63,204
66,176
74,188
65,192
62,196
62,199
62,199
62,201
61,203
63,203
63,204
66,204
68,203
66,175
68,192
63,195
62,198
62,199
62,201
61,202
62,203
63,203
65,204
68,204
67,204
70,175
67,173
65,194
62,197
62,199
62,202
61,203
63,203
64,204
66,203
65,204
63,206
71,172
68,170
62,171
55,174
51,175
51,177
55,176
58,172
51,176
79,182
81,181
80,180
79,180
74,179
65,183
60,185
59,186
75,187
78,187
80,186
78,186
76,186
71,187
68,188
68,189
76,188
81,187
83,186
86,186
93,182
100,177
103,172
84,198
90,196
93,192
94,189
89,189
79,191
70,194
64,197
62,198
62,199
62,200
61,203
63,204
64,203
66,203
65,204
62,206
61,207
71,174
72,169
69,166
63,167
54,171
51,173
52,173
54,172
51,174
46,179
79,183
80,181
80,182
77,181
71,183
63,184
60,186
71,188
77,187
82,185
83,184
80,185
77,185
73,185
68,187
66,189
72,189
82,187
86,186
85,185
88,184
95,179
102,174
105,169
80,199
85,198
90,196
93,193
91,191
85,192
76,194
67,196
63,198
64,198
62,200
62,201
66,202
65,204
62,205
61,206
73,170
74,164
71,159
62,164
55,169
52,169
50,170
48,175
46,179
45,182
80,183
80,182
77,183
76,183
68,184
62,186
77,188
84,185
88,182
85,183
79,184
75,185
69,186
66,188
69,189
79,187
86,186
87,185
85,185
89,184
97,178
103,172
106,166
83,197
79,198
81,198
86,197
90,195
92,193
89,193
83,193
74,195
67,197
65,197
64,198
64,202
62,205
61,206
73,172
76,164
77,153
70,153
60,160
53,165
49,170
46,175
45,179
45,182
79,183
78,184
79,183
77,183
66,185
62,186
74,188
81,187
88,183
91,179
85,182
78,183
73,185
68,186
67,188
75,187
85,186
88,184
86,184
84,185
89,183
98,178
104,171
106,166
84,197
79,198
83,198
86,197
89,195
89,194
89,192
84,191
73,193
68,195
64,197
63,199
63,201
63,202
64,202
65,202
62,204
61,205
76,166
78,154
77,144
67,150
56,158
49,166
47,175
45,179
45,182
78,185
79,184
82,182
75,183
64,186
62,187
75,188
83,187
90,182
90,180
84,182
77,183
73,185
68,187
71,188
81,186
89,184
90,183
86,183
84,184
90,182
98,178
104,172
105,167
81,198
80,197
83,197
86,195
87,195
89,193
91,188
82,188
71,194
66,196
63,198
63,200
63,201
66,201
68,201
64,202
61,205
74,170
78,159
80,143
76,138
64,148
53,160
48,171
46,177
45,181
78,185
82,183
83,181
72,184
63,187
77,188
85,186
91,182
90,180
83,182
78,183
73,185
70,187
77,187
87,185
91,183
91,181
87,181
85,182
91,181
101,175
105,170
103,164
80,197
80,197
80,197
84,196
85,196
86,195
92,190
90,184
76,192
67,196
64,197
63,199
63,201
66,201
71,199
67,200
62,203
73,174
76,165
80,149
81,134
73,136
59,151
50,167
46,176
45,180
80,185
84,183
81,182
70,185
65,187
67,187
66,187
78,188
86,186
91,182
88,182
81,183
76,185
73,187
75,188
83,187
90,185
94,181
93,178
88,180
88,181
96,178
104,172
106,167
98,165
79,197
79,197
81,196
82,196
83,196
88,193
91,187
82,189
70,195
65,196
64,198
63,199
66,201
71,199
71,198
62,202
60,204
76,170
78,159
81,142
80,128
68,138
54,158
47,174
45,180
81,185
83,184
79,183
70,185
68,186
71,185
66,188
79,188
86,186
89,183
85,184
79,186
75,187
75,188
81,188
88,186
93,183
95,179
93,178
91,179
93,178
100,175
104,171
103,167
89,169
79,196
79,196
80,196
81,195
83,195
88,193
85,190
74,194
69,196
67,196
65,198
64,199
66,199
70,199
72,197
65,200
60,203
59,204
59,205
77,166
80,153
82,135
77,126
62,145
49,166
78,186
82,185
83,185
78,184
72,186
72,186
71,186
66,188
80,188
85,187
86,186
82,186
76,188
80,187
88,186
92,183
94,182
95,179
94,178
94,177
98,176
102,172
104,169
95,168
81,172
79,195
79,195
79,195
80,195
83,194
83,193
78,194
71,195
70,196
70,196
69,197
68,197
71,197
72,196
67,198
60,201
59,203
59,205
59,206
76,171
79,163
81,146
81,129
72,132
55,156
47,177
79,186
82,186
81,185
76,186
73,187
75,187
71,187
84,188
79,188
86,186
93,183
95,181
95,180
95,179
96,177
99,175
102,173
102,170
98,168
86,170
80,173
78,194
78,194
78,194
79,193
81,193
79,194
73,195
73,194
74,194
72,195
72,195
71,195
66,198
62,201
60,202
58,204
58,206
78,167
80,156
82,139
79,129
64,148
49,170
80,187
77,186
75,187
77,187
78,186
71,187
81,189
83,188
82,187
91,185
96,180
96,179
96,178
98,177
100,175
102,172
102,170
99,169
89,169
80,172
82,171
76,193
76,193
77,193
78,193
79,193
74,194
75,194
77,193
76,193
72,195
70,195
66,197
62,200
61,201
60,202
58,204
77,168
70,188
79,189
82,189
85,188
85,187
78,188
85,187
94,183
97,179
96,178
98,178
100,175
103,171
104,167
100,167
92,168
82,170
78,171
76,173
70,175
66,178
72,177
88,173
100,167
102,165
97,165
87,167
74,170
64,178
61,185
60,189
61,193
63,194
68,192
71,192
73,191
73,192
74,192
76,191
76,191
75,192
74,193
75,193
76,193
77,192
76,192
75,193
75,193
78,193
79,193
73,193
69,195
65,197
62,199
62,199
62,199
60,201
57,205
76,172
79,162
69,189
81,189
86,188
88,187
82,187
78,187
88,186
95,182
96,180
97,178
99,177
103,173
105,166
104,164
97,166
86,168
78,170
74,172
67,176
65,178
69,177
85,173
100,166
105,163
103,163
97,162
85,164
70,171
62,180
61,186
61,189
62,193
70,190
72,190
73,190
74,189
74,190
74,190
75,190
75,191
74,192
74,192
74,192
74,192
74,192
74,192
74,192
77,192
79,192
76,192
70,194
65,196
62,198
62,198
66,198
64,199
60,202
57,205
73,213
73,213
70,214
63,215
77,167
78,160
71,190
80,189
82,188
85,188
89,186
87,185
79,187
75,187
81,187
91,184
95,182
96,180
98,178
101,176
104,171
106,164
103,163
93,166
82,170
76,172
69,174
65,176
67,176
78,176
95,170
104,164
107,162
103,161
93,161
78,167
67,176
62,182
62,186
62,190
69,189
76,185
74,188
77,186
77,186
74,188
72,189
73,189
74,190
73,191
74,191
74,191
73,191
73,191
74,191
77,191
80,191
78,191
72,192
66,194
62,196
62,198
65,198
68,197
63,199
58,203
58,205
75,213
75,213
72,212
64,214
77,170
77,162
74,162
78,189
82,188
86,188
90,186
91,184
82,184
74,186
75,187
84,186
93,183
96,181
97,179
98,178
101,177
105,171
106,166
101,165
91,167
82,170
76,172
70,174
68,175
73,175
86,175
97,169
104,165
106,160
98,161
81,167
70,173
66,178
65,181
63,185
65,188
79,180
78,184
80,183
85,182
79,182
71,186
71,187
73,188
73,189
72,189
73,189
73,190
72,190
73,190
77,190
80,190
80,189
76,190
68,192
63,194
61,196
63,197
67,196
67,197
60,200
58,204
59,205
59,206
71,213
72,213
66,214
76,173
77,166
73,164
70,165
77,189
80,189
85,188
91,186
94,182
88,182
76,185
71,187
77,187
89,184
95,182
96,180
96,179
97,179
102,175
105,171
105,168
100,166
91,168
83,169
78,171
74,173
74,174
79,174
87,172
94,170
102,164
103,159
87,167
74,174
72,176
72,177
68,179
65,186
75,181
83,179
83,182
91,176
89,179
77,183
70,185
71,186
73,186
72,188
73,188
73,188
71,189
72,190
76,189
81,189
82,189
79,188
71,190
65,193
62,194
61,196
63,197
66,196
62,198
59,202
59,204
59,205
59,207
72,213
76,213
70,214
66,215
75,174
77,168
75,162
68,166
69,163
77,189
83,188
90,186
96,182
94,178
83,181
73,184
72,186
82,185
92,183
95,182
94,181
95,181
99,178
104,174
105,169
105,167
100,165
90,167
85,168
81,170
81,171
82,171
80,171
82,173
90,172
100,164
94,165
78,174
76,176
81,175
78,174
68,182
69,186
80,180
85,183
93,175
96,178
87,177
73,183
70,185
73,185
74,186
72,187
72,187
71,188
69,189
73,188
80,188
82,187
83,186
76,188
68,191
64,192
61,194
61,196
62,197
62,199
59,201
59,203
59,205
59,206
59,208
64,215
75,169
76,162
68,163
64,167
66,163
79,189
87,188
94,184
97,178
92,177
79,182
72,185
77,186
87,184
93,183
94,183
95,182
97,180
101,178
104,174
105,170
105,166
96,166
87,169
86,169
86,170
87,169
82,171
74,175
75,176
86,175
92,170
83,174
76,178
83,176
85,174
75,178
67,186
73,186
82,184
90,181
97,179
97,175
85,178
72,183
73,184
76,184
74,185
72,186
70,186
68,187
68,189
74,187
80,187
84,186
80,186
70,188
66,190
63,192
60,195
60,197
59,198
59,201
59,202
59,204
59,206
59,207
79,212
67,213
123,240
124,240
126,240
125,241
73,170
75,163
69,162
60,168
61,168
59,170
84,189
94,184
98,180
96,178
86,180
77,183
75,186
82,185
89,184
94,184
96,183
98,180
100,178
102,177
104,174
106,169
101,165
89,169
83,172
85,171
87,171
85,171
74,175
67,179
73,179
82,178
83,177
77,180
79,180
85,178
79,180
70,185
68,188
75,187
85,185
94,182
100,178
97,174
82,180
75,182
78,182
79,182
75,183
71,184
67,186
65,187
67,188
73,187
79,187
81,185
74,187
66,189
63,191
61,194
60,196
59,198
59,200
59,202
59,203
59,205
59,206
59,208
75,213
77,212
79,212
79,212
77,211
66,214
121,239
129,239
132,239
131,239
127,240
121,241
72,170
72,168
71,164
68,162
59,169
54,175
55,175
91,185
97,181
97,180
91,181
82,183
77,185
78,186
86,186
92,185
95,183
98,180
100,179
102,176
104,174
106,171
104,166
94,167
82,172
80,173
82,174
83,174
78,175
68,180
66,182
73,182
77,182
76,182
77,183
81,182
79,183
72,185
68,188
71,188
80,187
89,185
98,181
103,174
94,175
83,179
81,180
84,180
80,180
74,182
69,183
66,185
65,187
66,188
77,187
74,187
67,188
64,191
63,193
61,195
60,196
59,198
59,201
59,202
59,204
59,206
59,207
64,211
75,212
78,212
79,212
80,212
79,211
76,211
74,212
73,212
67,213
60,216
136,238
137,239
135,239
130,239
120,240
75,166
75,161
68,164
64,163
58,168
51,178
51,181
96,184
96,183
93,183
87,184
81,185
79,187
84,187
91,186
95,184
98,181
100,179
102,177
105,173
106,170
105,167
97,167
84,172
77,175
78,175
79,176
79,176
72,179
66,183
69,183
73,184
74,184
76,184
80,184
81,184
76,186
71,187
71,188
76,188
85,187
94,185
102,180
102,173
94,176
88,178
89,178
88,177
80,179
71,181
67,183
64,185
64,187
67,189
65,191
64,192
64,193
62,194
60,196
59,199
59,202
59,203
59,205
59,206
67,209
66,210
62,211
69,213
75,212
79,212
79,212
81,211
80,211
78,210
78,211
80,210
78,208
67,212
59,216
136,238
128,239
120,240
75,170
74,167
78,157
71,155
62,165
56,167
96,185
94,185
89,185
84,186
81,188
84,187
90,186
95,185
98,182
100,180
102,178
105,175
106,171
106,167
99,168
85,172
75,176
74,177
76,178
78,178
75,179
68,182
68,184
73,184
73,185
74,185
80,185
84,185
82,185
77,186
74,187
75,188
81,188
89,186
98,184
104,178
102,174
97,175
95,176
95,175
89,175
77,178
68,181
65,183
63,185
64,186
68,187
65,189
64,191
66,191
65,192
62,194
59,197
59,200
59,202
59,204
59,206
68,209
64,211
60,213
69,213
75,212
80,212
81,211
81,210
81,210
78,211
78,211
82,210
86,206
79,205
64,213
58,216
133,240
135,239
132,239
124,240
125,241
79,163
95,187
92,187
86,188
83,188
84,188
89,187
95,185
98,183
100,181
102,179
104,177
106,175
107,171
101,170
88,173
76,177
71,179
72,179
75,180
76,180
70,183
67,185
72,185
76,185
73,187
77,187
84,186
88,184
84,185
80,186
77,187
78,188
85,188
93,186
101,183
105,178
104,173
102,173
100,173
97,172
87,173
74,176
67,180
65,183
64,184
66,187
64,189
67,190
69,190
65,191
61,194
59,198
59,201
59,203
58,205
58,206
66,210
61,213
68,213
75,212
82,211
85,210
84,210
83,210
80,211
78,211
81,210
87,208
87,203
75,207
61,214
58,216
129,241
83,159
81,154
94,188
90,189
86,189
86,189
90,188
94,186
97,184
100,182
102,180
104,178
105,176
106,174
102,173
92,174
79,177
72,180
70,180
72,181
75,181
72,183
67,186
70,187
76,185
75,186
75,188
80,187
88,186
90,185
85,186
80,188
78,189
82,189
90,188
97,186
104,182
106,178
106,172
105,170
102,169
96,169
83,172
72,176
67,180
64,183
64,185
68,186
66,188
68,188
72,188
71,188
63,192
59,196
59,199
58,202
58,204
58,206
58,207
67,211
62,212
62,213
74,213
81,212
85,210
86,209
84,209
81,210
79,210
81,210
85,208
89,205
84,203
70,210
60,215
85,155
84,147
82,142
92,190
89,190
89,190
92,189
95,187
97,186
99,183
102,181
104,179
105,177
104,175
103,173
95,175
83,177
74,179
70,181
70,182
74,183
73,183
69,186
67,188
73,188
76,187
76,188
78,189
83,189
88,188
88,188
84,188
80,190
81,190
87,189
93,188
100,185
105,182
107,176
107,170
106,167
103,166
94,169
80,173
71,177
67,181
65,183
65,184
66,185
68,185
69,185
69,186
74,186
75,185
68,189
61,193
59,198
58,201
58,203
58,205
58,207
59,209
61,213
78,213
84,211
87,209
81,210
84,209
88,207
89,203
81,204
66,210
59,216
136,244
87,142
83,141
79,140
91,191
92,190
94,189
96,188
96,187
98,185
100,183
103,181
104,179
104,177
104,175
100,175
88,177
76,179
70,182
70,183
71,184
74,184
70,187
67,189
69,190
74,190
77,190
79,190
81,190
83,190
86,190
84,190
81,191
81,191
86,191
91,190
95,188
101,185
106,181
107,174
108,167
107,164
102,166
93,168
80,174
71,178
67,181
66,183
66,184
68,184
71,184
72,184
73,184
75,184
73,185
63,190
60,195
59,199
59,202
59,204
59,206
59,208
60,209
74,213
82,212
86,211
88,209
84,210
87,208
89,206
87,204
76,206
62,212
58,216
71,222
134,244
87,146
85,140
77,146
70,148
93,191
96,189
96,189
96,188
97,186
99,185
101,183
103,181
104,179
104,178
103,175
93,176
79,180
70,182
69,184
69,186
72,186
71,187
67,189
67,191
70,192
75,191
82,190
82,192
83,192
82,192
81,192
84,192
90,191
93,190
97,188
103,186
106,180
107,173
108,167
105,166
101,167
93,168
80,173
71,178
69,181
68,182
68,183
72,183
76,182
75,182
74,183
74,185
68,187
62,193
60,197
59,201
59,203
59,205
59,207
60,209
78,213
84,212
87,210
87,210
85,209
87,208
87,207
80,207
67,211
60,215
60,217
71,222
133,244
87,148
84,146
76,149
67,157
59,163
95,191
97,189
97,189
97,188
98,186
99,185
101,183
103,182
104,180
104,177
97,176
84,180
73,182
68,185
67,187
69,188
72,188
69,189
67,191
72,192
81,191
83,191
79,192
79,193
88,193
92,191
94,190
99,189
104,186
106,180
106,175
105,172
104,171
103,166
93,166
78,173
71,179
71,180
70,181
73,181
80,180
79,181
75,182
71,186
71,187
65,190
61,195
60,201
59,203
59,205
60,207
60,209
61,210
81,213
84,212
86,211
85,209
85,209
80,209
70,211
62,214
60,216
69,222
133,244
126,245
86,153
85,147
82,151
76,153
67,159
96,191
97,189
97,189
97,188
99,186
100,184
102,183
104,181
104,178
100,177
87,180
77,182
71,184
68,187
68,188
71,189
73,189
69,190
68,192
78,192
83,192
81,192
77,193
91,193
93,192
96,191
101,188
105,185
105,181
104,179
104,177
105,171
103,164
88,169
75,177
76,178
75,178
74,180
78,179
82,180
75,182
69,187
68,189
67,191
63,196
61,200
60,203
60,205
60,207
60,208
61,209
81,213
82,213
84,211
80,210
72,211
62,214
60,216
69,222
130,244
123,246
83,155
78,157
74,159
69,162
